position,true_level,mvr_mean_rank,mvr_std_rank,mvr_layer,z_dev,n_records
副省级市|党委|政法委|政法委书记,正厅,140.015,21.711857935238964,3,0.334502410725441,4
中央|学校|长江商学院|学员,副部,138.9875,10.445565745808109,3,-1.7179663942370136,7
中央|学校|江苏省委党校|学员,副厅,138.63625,61.48507083786681,3,2.556347474107166,4
省级|党委|滨海新区工作委员会|副书记,正厅,137.5325,31.58653104964202,3,0.29305345174187464,4
省级|政府_国务院|政府/国务院（综合）|副秘书长（正厅级）,正厅,136.33625,11.60056834545187,3,0.2730803128963193,3
省级|党委|组织部 （党委）|副部长,正厅,134.98,5.9058953597232025,3,0.2504357406419536,34
省级|政府_国务院|食品药品监督管理局/食品安全委员会|局长,正厅,134.32,11.34625929546824,3,0.2394160778306127,4
中央|学校|华南理工大学|学员,正厅,133.87875,15.558086271694854,3,0.23204876538287914,3
省级|政府_国务院|商务部/厅/局|厅长,正厅,133.5725,29.394297810119614,3,0.22693547487382879,4
地级市|党委|经济技术开发区管委会|书记,副部,132.85875,15.584408825409447,3,-1.796215864957507,8
省级|政府_国务院|财政部/厅/局|厅长,正厅,132.69375,12.32913058319605,3,0.21226346169888055,12
中央|学校|斯坦福大学|学员,正厅,132.45875,12.183217901584943,3,0.2083397938796912,5
省级|地方企业|社科联|党组书记,正厅,130.875,18.592320323187206,3,0.18189677724717404,3
省级|行业协会_人民团体|妇女联合会|主席,正厅,130.55375,7.384078204996227,3,0.17653303985604799,4
中央|学校|中央党校|学员,正厅,130.2275,6.030401624270149,3,0.1710858201708962,412
省级|政府_国务院|经济委员会|主任,正厅,129.77375,12.924688040239122,3,0.16350980198809956,3
中央|学校|国防大学|学员,副部,129.01875,13.843984196664644,3,-1.8452434754109748,4
中央|学校|重庆市委党校|学员,正厅,125.45875,12.540566113118654,3,0.09146458224425659,3
中央|共青团|青年联合会|副主席,副部,124.39625,14.378342600505112,3,-1.9042617382550262,6
副省级市|党委|直属机关工作委员会|书记,正厅,124.09375,23.691506092637926,3,0.06867391597534697,3
省级|政府_国务院|卫生部/厅/局|厅长,正厅,123.40625,24.060106212099313,3,0.05719510054686681,5
中央|学校|中国浦东干部学院|学员,正厅,122.79125,5.394457659255472,3,0.04692677838175373,4
省级|党委|党委政策研究室|主任,正厅,121.35,20.36866465922592,3,0.02286300712895786,15
中央|行业协会_人民团体|煤炭工业协会|副会长,正厅,120.195,34.425854746106175,3,0.0035785972091111665,3
省级|军队|省级军区|政委,副部,120.035,26.85304964059018,3,-1.9599444637993462,5
省级|党委|老干部局|局长,正厅,119.6375,16.417402162035295,3,-0.005729678574710768,3
副省级市|党委|党委常委会/政治局 |市委常委,正厅,118.90625,52.37279791015084,3,-0.017938964075912445,3
中央|党委|国家机关工作委员会|副书记,副部,117.995,33.4206519236235,3,-1.985990381852751,4
中央|军队|国防大学|学员,副部,117.11875,22.619452876617054,3,-1.9971779973891706,3
中央|学校|华中科技大学|学员,正厅,116.4875,13.79954143259839,3,-0.058323523810656336,8
省级|政府_国务院|工商行政管理局|局长,正厅,116.38125,39.637998163851556,3,-0.06009752255869423,7
